coenti;ramos;UF; premio_dir ;Filtro
4421;1601;SP;202.376,60;S
1007;977;RJ;19.557,60;S
1007;982;RS;11.373.095,20;S
1007;993;RS;22.128,40;S
1015;114;RJ;6.921.231,10;S
1015;116;RJ;6.537.112,20;S
1015;118;RJ;3.984.729,90;S
1015;141;RJ;176.601,10;S
1015;351;RJ;568.265,60;S
1015;520;RJ;5.901.688,50;S
1015;525;RS;371.769,30;S
1015;531;RJ;164.356.887,50;S
1015;542;RJ;62.935.061,30;S
1015;553;RJ;55.956.685,70;S
1015;711;RJ;27.864,10;S
1015;993;RJ;246.339,90;S
1015;1061;SP;141.466,00;S
1015;1065;SP;76.363,50;S
1015;1329;RJ;41.227,00;S
1091;531;RS;58.262,90;S
1261;1601;SP;600.759,10;S
1279;118;SP;11.028,00;S
1279;196;RJ;12.894.973,50;S
1279;351;BA;20.700,30;S
1279;775;RJ;81.216,20;S
1279;776;SP;32.968,10;S
1279;1101;PR;31.024.428,50;S
1414;167;SP;591.215,90;S
1414;171;SP;272.617,80;S
1414;310;SP;119.904,90;S
1414;313;SP;225.528,20;S
1414;351;SP;829.706,00;S
1414;378;GO;1.937.818,60;S
1414;621;SP;219.062,90;S
1414;622;SP;321.016,60;S
1414;632;RJ;18.608,20;S
1414;652;GO;22.563,40;S
1414;654;SP;639.908,80;S
1414;655;SP;529.971,30;S
1414;746;SP;96.011,10;S
1414;775;SP;2.343.704,20;S
1414;776;RS;572.376,00;S
1414;982;PR;1.015.086,90;S
1414;993;SP;17.564,00;S
1414;1130;PR;16.562,60;S
1431;167;SP;20.210,00;S
1431;171;MG;51.161,10;S
1431;196;SP;5.578.594,50;S
1431;310;SP;174.824,30;S
1431;327;SP;193.980,00;S
1431;351;SP;580.162,10;S
1431;378;SP;115.773,40;S
1431;621;PA;529.900,00;S
1431;622;SP;368.522,50;S
1431;654;SP;426.868,00;S
1431;655;SP;259.664,40;S
1431;658;SP;14.575,70;S
1431;1417;CE;180.000,00;S
1431;1535;MS;70.285,30;S
1431;1537;SP;73.383,40;S
1431;1597;SP;20.268,30;S
1431;1597;MT;17.566,30;S
1490;114;RJ;13.357,90;S
1490;118;CE;65.032,00;S
1490;141;SP;34.334,90;S
1490;171;CE;478.106,80;S
1490;378;SP;42.656,10;S
1490;520;RS;260.297,50;S
1490;531;RJ;41.247,20;S
1490;553;SP;274.918,30;S
1490;621;PR;32.400,00;S
1490;623;RJ;1.988.473,20;S
1490;628;RJ;1.379.892,10;S
1490;654;SP;596.700,00;S
1490;655;SP;596.700,00;S
1490;1061;RJ;166.387,40;S
1490;1065;RJ;230.435,40;S
1490;1101;RJ;288.397,10;S
1490;1130;RJ;42.225,40;S
1490;1162;RS;18.197,30;S
1490;1433;SP;264.029,70;S
1490;1528;SP;55.193,90;S
1490;1535;RJ;489.766,90;S
1490;1537;BA;36.913,80;S
1490;1597;PR;12.615,90;S
1554;977;GO;33.994,10;S
1554;1601;GO;41.982,90;S
1571;167;SP;433.190,50;S
1571;171;SP;897.955,30;S
1571;196;SP;8.033.343,30;S
1571;310;SP;22.615,50;S
1571;327;SP;94.842,10;S
1571;351;SP;5.914.455,60;S
1571;378;SP;24.209,30;S
1571;378;PR;10.752,00;S
1571;621;SP;11.585.503,90;S
1571;622;MG;2.630.619,00;S
1571;654;SP;913.203,80;S
1571;655;MG;166.179,20;S
1571;658;DF;21.935,50;S
1571;993;RJ;39.247,00;S
1627;114;SP;429.012,10;S
1627;118;SP;913.500,10;S
1627;141;RJ;111.080,80;S
1627;171;BA;200.000,20;S
1627;195;PR;1.816.074,00;S
1627;310;PR;176.940,90;S
1627;351;RS;92.686,10;S
1627;746;SP;39.165,50;S
1627;775;CE;1.155.305,50;S
1741;167;SE;25.037,20;S
1741;173;SP;267.368,40;S
1741;310;PR;35.856,00;S
1741;378;RJ;68.080,10;S
1741;746;BA;74.793,60;S
1741;775;PR;2.402.779,60;S
1741;776;RR;216.934,00;S
1805;982;SC;65.813,50;S
1805;993;SC;199.905,50;S
1805;1601;AC;208.933,30;S
1937;977;RJ;55.674,40;S
1970;118;SP;70.191,80;S
1970;310;PB;75.888,00;S
1970;378;ES;1.074.721,90;S
2020;748;RS;4.207.000,00;S
2020;749;RS;103.864,70;S
